latitude,longitude,depth,mag
-31.6242,-69.197,111.3,4.2
-17.7643,-69.8463,129.49,4.5
-29.1642,-67.6662,120,5.6
-17.3924,-69.965,139.28,4.2
-30.643,-72.1165,10,5.2
-21.5412,-68.5089,131.69,4.1
-31.7529,-72.0479,35,4.2
-21.1178,-68.8702,110.04,4.4
-29.1792,-71.8827,37.04,4.1
-23.5131,-66.7769,208.09,4.4
-22.5768,-66.0455,261.61,4.3
-32.2682,-71.4653,45.85,4.5
-22.3232,-67.6808,191.74,4.2
-15.5042,-70.2846,204.84,4.6
-22.4377,-68.7046,98.65,4
-19.0417,-69.3593,110.87,4.3
-21.2686,-68.9314,120.44,4.5
-30.1451,-69.3663,126.46,4.2
-19.8317,-69.3156,99.72,4.1
-18.9629,-69.3633,110.67,4.5
-23.1549,-70.6585,35,4.4
-19.5766,-69.3058,100.18,4.6
-23.2262,-67.8169,132.81,4.6
-30.2439,-68.9122,12.26,5
-24.0637,-67.2112,207.27,4.7
-23.5123,-66.9073,204.52,4.2
-29.1981,-71.7567,12.12,4.6
-18.1349,-69.3939,134.52,4.2
-19.0541,-69.3486,145.68,4.6
-26.2977,-70.9633,25.61,4.2
-24.1948,-67.2746,193.07,4.2
-31.4337,-71.9059,21.52,4.1
-31.4514,-71.8441,22,4.6
-15.4684,-74.7609,50.85,4.7
-30.7096,-71.3333,46.52,4.5
-38.8725,-72.8647,46.2,4.6
-32.3042,-69.4843,108.09,4.4
-22.4053,-69.0328,102.86,4.1
-31.1926,-68.4138,97.4,4.3
-24.3412,-67.5869,176.7,4.1
-17.5738,-69.3839,162.43,4.3
-29.3837,-69.7346,104.15,4.5
-34.2896,-72.4236,29.27,4.4
-23.7411,-68.9866,92.51,4.2
-22.4163,-66.0995,260.06,4.6
-21.2278,-68.6771,107.06,4.2
-31.8465,-69.341,123.24,4.2
-17.7394,-69.394,154.18,4.2
-15.7454,-69.8171,248.86,4.2
-24.2754,-66.8928,169.45,4.7
-30.5787,-72.2306,10,4.3
-29.25,-71.725,36.3,4.7
-16.0936,-73.3569,64.01,4.7
-22.7659,-67.8456,159.77,4.2
-17.1201,-70.124,161.46,4.3
-27.2004,-71.1177,35,4.2
-18.1057,-69.4843,138.3,4.6
-23.0271,-66.5352,193.87,4.8
-22.7821,-70.8763,15.39,4.3
-22.9343,-69.2518,69.23,4
-21.9343,-68.5934,119,5.7
-32.4985,-71.7268,56.61,4.4
-22.871,-66.1759,231.66,4.2
-24.141,-67.0918,209.23,4.3
-18.6199,-71.1568,22.2,4.9
-29.6974,-72.8512,10,4.1
-24.0101,-66.9492,220.45,4.5
-23.4117,-67.5576,125.89,4.8
-23.9378,-66.7137,215.25,4.3
-24.1606,-66.9746,174.11,4.3
-29.6879,-72.8716,10,4.2
-35.3884,-73.1578,10,4.3
-23.6769,-66.9243,204.75,4.6
-32.0157,-68.0469,10,4.6
-23.1611,-66.4472,211.28,4.4
-35.4781,-73.1241,10,4.3
-22.1911,-68.799,117,5.6
-35.5125,-73.1206,21.7,4.4
-34.5466,-73.9391,10,4.2
-35.4692,-73.0132,16.43,4.2
-35.397,-73.1821,10,4.5
-35.5169,-72.9884,13.93,5
-35.4924,-73.2566,20.15,4.3
-35.4326,-73.0805,17.49,4.5
-35.4376,-73.369,22.74,4.4
-35.5442,-73.0671,21.31,4.3
-35.4988,-73.1703,10,4.7
-35.4325,-73.1017,10,4
-35.5273,-73.2157,10,4
-35.4534,-73.2386,10,5.2
-35.561,-73.0573,22.43,4
-35.5594,-72.9596,10,4.1
-35.4758,-73.163,11,6.7
-24.2533,-67.0521,188.33,4.5
-24.2556,-67.2477,194.66,4.2
-22.8031,-63.747,523.52,4.4
-21.1394,-69.0253,110.34,4.3
-23.086,-66.4479,230.39,4.4
-24.0376,-67.9219,151.47,4
-19.1625,-69.2892,110.89,4.2
-28.6483,-67.5895,140.46,4.3
-15.2842,-72.1261,80.54,4.6
-23.1959,-69.1071,106.15,4.6
-21.1553,-69.0028,98.76,4.4
-24.0717,-67.0091,240.81,4.1
-29.855,-71.3503,35.1,5.4
-23.2577,-66.5587,238.73,4.1
-27.8767,-66.7515,157.26,5.3
-36.0451,-73.8352,10,5.3
-14.6866,-73.5712,67.19,4.9
-30.3351,-67.7791,60.1,4.6
-37.7992,-74.2918,26.18,4.1
-22.1538,-68.3824,103.54,4.5
-28.5289,-71.4216,41.75,4.1
-16.495,-71.8632,127.52,4.2
-27.1458,-71.217,35,4.2
-21.9411,-68.7049,121.07,4.3
-30.7158,-71.6708,31.63,4.3
-23.7124,-66.6258,203.68,4.4
-15.6584,-74.0643,66.25,4.4
-19.2241,-70.2789,72.73,4.2
-33.2839,-70.43,90.32,3.9
-21.4261,-68.698,139.22,4.3
-20.7072,-67.3052,186.27,4.3
-19.0496,-69.2245,95.14,4.3
-21.9074,-68.6976,116.51,4.3
-30.5455,-72.1504,13.15,4.4
-32.2505,-71.8929,12.36,4.4
-32.2559,-71.7617,22.42,4
-17.9294,-69.5951,144.37,4.4
-25.1081,-70.789,45.22,4.3
-33.9679,-73.2775,10,4.6
-33.9647,-73.3528,10,4.9
-32.8458,-70.4102,99.38,4.6
-31.396,-68.6181,102.87,5
-19.1932,-69.1747,134.3,4.1
-21.2163,-67.5182,201.32,4.3
-18.8077,-69.397,116.95,4.1
-22.1839,-68.6491,124.48,4.6
-15.3942,-64.8512,585.11,4.7
-31.992,-67.234,123.97,4.5
-18.0263,-70.0244,93.76,4.5
-30.6954,-71.5222,42.52,4
-21.2611,-68.919,119.69,4
-30.1844,-71.5335,35,4.4
-20.3648,-70.04,69.89,4.4
-31.2417,-69.1134,137.37,4.4
-21.2235,-68.5075,134.37,4.4
-24.2072,-67.0374,196.49,4.2
-21.3373,-67.894,154.46,4.2
-19.6554,-69.33,98.68,4.2
-20.3181,-70.8821,10,4.4
-29.7329,-71.7046,33.7,4.1
-21.314,-68.7851,134.77,4.3
-23.8908,-66.7525,206.26,4.5
-17.561,-69.4944,171.38,4.6
-23.8871,-66.8167,209.46,4.4
-36.0838,-73.8035,10,5.1
-24.2013,-67.2563,186.51,4.2
-24.3603,-67.1765,173.22,4.8
-24.0777,-66.9781,166.91,4.9
-24.2502,-67.0789,183.96,4.4
-18.5789,-71.0334,35,5.1
-27.4535,-70.26,92.67,4.4
-30.2181,-72.5892,10,4.3
-29.7363,-69.3107,112.93,4.6
-17.707,-69.6707,159.37,4.5
-22.8015,-68.0184,142.46,4.4
-17.3313,-70.7183,118.97,4.3
-36.5791,-70.9817,139.2,4.1
-34.3622,-71.916,30.71,4.2
-20.5823,-70.3895,29.75,4.9
-23.1591,-68.9534,89.9,4.9
-31.3417,-68.2592,22.78,4.5
-38.1221,-74.1794,10,4.1
-32.5055,-72.038,14.23,4.3
-22.8222,-66.4057,227.84,4.9
-31.0978,-71.3676,60.36,4.8
-24.2092,-67.3473,211.56,4.6
-17.1449,-70.216,121.37,4.8
-15.2823,-70.3203,236.07,4.3
-28.8279,-71.6442,10,4.5
-24.1933,-67.1216,180.38,4.3
-31.9275,-71.2347,71.19,3.8
-23.3389,-69.8542,78.81,4.1
-21.0595,-68.9217,113.67,4.5
-22.331,-66.3951,225.93,4.4
-37.5485,-74.1721,10,3.8
-20.5922,-68.8717,124.19,4.6
-29.3829,-70.8021,76.12,4.2
-18.8378,-67.875,212.85,4.1
-17.7937,-69.3373,164.44,4.1
-20.197,-68.77,111.64,4.3
-19.7022,-63.9348,564.07,4.6
-22.8977,-66.6137,197.97,4.2
-30.0228,-71.6749,30.34,4.3
-35.3088,-71.1552,109.91,4.1
-22.1468,-68.7684,117.23,4.3
-24.9314,-68.8927,98.05,4.3
-29.9055,-72.1195,10,4.9
-22.764,-66.4053,293.48,4.1
-24.2223,-67.0827,162.26,4.9
-24.2271,-67.2521,193.95,4.2
-20.7367,-70.0983,29.58,4.3
-18.6654,-69.5975,119.04,4.4
-16.0443,-72.3944,10,4.4
-25.3933,-71.2047,35,4
-40.1358,-72.1616,132.28,4.3
-22.2242,-68.6771,117.1,4.4
-19.2761,-69.6349,97.27,4.5
-20.7149,-69.2812,106.39,4.7
-32.1916,-65.2434,10,4
-20.1094,-64.5312,10,4.6
-28.0291,-63.1516,576.45,4.4
-28.2586,-67.569,167.69,4.1
-22.0725,-67.1579,180.62,4.2
-25.0025,-70.9251,30.31,4
-28.0261,-66.7946,142.34,4.9
-28.2166,-67.4164,123.45,4.7
-31.751,-71.44,48.86,4.4
-16.0521,-70.2685,195.21,4.5
-24.1979,-66.9962,171.84,4.4
-32.1062,-70.9702,83.07,4.7
-38.3154,-74.9221,31.77,4.9
-20.5333,-68.8634,112.64,3.9
-20.6911,-66.8359,238.88,4.3
-21.1628,-68.6599,131.61,4.2
-24.221,-67.3374,189.47,4.4
-21.5442,-66.7681,249.73,4.1
-16.6727,-69.8558,187.92,4.2
-34.3111,-72.3857,26.87,4.1
-34.1415,-72.245,18.13,4.6
-34.1896,-72.272,14.31,4.6
-34.1825,-72.1958,13.23,5.4
-34.1537,-72.2855,23.76,4.2
-34.2812,-72.3734,15.41,5.6
-34.1875,-72.1908,10,4.9
-34.2364,-72.3102,25,6.8
-31.483,-71.9459,29.8,4.4
-23.3811,-66.9188,220.51,4
-22.6198,-66.1803,284.72,4
-28.253,-67.4727,118.12,4.5
-24.1281,-67.0825,205.02,4.1
-24.2586,-67.3747,195.22,4
-29.3774,-72.0182,10.47,4.1
-23.4546,-68.1935,133.18,4.3
-19.764,-70.8663,18.41,4.3
-18.605,-71.0957,38.23,4.3
-22.4672,-69.0515,108.76,4.3
-31.2566,-68.7108,107.23,4.6
-25.8389,-69.0922,107.67,4.1
-31.6447,-69.6728,115.39,4.7
-15.6808,-74.625,35,4.7
-21.3304,-68.1949,185.01,4
-31.3634,-70.736,104.79,4.3
-23.91,-67.3767,238.57,4.1
-20.8212,-67.2523,185.76,4.9
-27.9046,-66.8037,167.09,4.2
-22.253,-70.3235,35,4
-30.9743,-71.7911,36.44,4.1
-20.4283,-66.9513,254.82,4.2
-23.3552,-66.8111,204.47,4.5
-36.6965,-73.0737,33.51,2.9
-25.4759,-64.4012,37,4.3
-33.129,-70.572,92.13,4.3
-24.1828,-67.3359,187.66,4.2
-29.6384,-68.346,105.91,4.5
-21.1459,-68.8332,126.3,4.4
-30.8276,-71.5082,47.02,4.5
-22.2207,-67.2237,164.72,4.2
-30.7523,-71.4746,50.31,4.6
-21.5851,-68.4999,131.17,4.4
-20.7738,-70.5128,27.19,4.4
-27.6271,-67.5351,132.52,4.4
-24.0624,-66.7203,187.07,4.9
-33.3064,-73.0866,10,4.4
-34.6647,-73.7344,10,4.2
-15.6409,-70.0978,235.99,4.3
-34.8855,-71.1199,106.26,4.1
-36.7622,-70.8672,156.08,4.7
-18.1588,-70.1765,102.57,4
-18.5954,-70.0033,84.99,4.1
-24.2631,-67.1852,178.56,4.1
-32.8837,-72.1189,25.7,4.1
-22.7125,-66.3817,272.36,4.2
-15.8048,-73.3568,74.66,4.4
-23.3452,-66.676,209.42,4.2
-21.6736,-66.8947,238.53,4.6
-27.4675,-66.7251,34.13,4.8
-28.0401,-66.877,162.54,4.4
-22.5296,-66.1817,248.63,4.5
-19.3269,-69.3851,105.44,4.2
-31.8429,-69.515,115.65,4.5
-30.595,-71.4315,35.43,4
-24.0863,-66.8645,243.98,4.1
-22.6758,-67.7836,165.02,4.2
-31.5741,-68.1945,112.96,4.6
-21.5403,-68.5078,161.79,4.2
-17.3518,-69.3804,161.11,4.3
-31.3015,-68.8829,112.16,4.2
-22.2205,-68.7216,135.83,4.3
-17.1867,-69.5504,165.9,4.4
-31.5382,-71.5037,41.04,4.5
-18.5285,-69.3814,126.25,4.5
-31.4648,-69.4569,110.26,4.4
-31.7222,-69.3598,114.08,4.4
-16.0048,-74.2359,35,4.8
-30.1956,-71.3476,58.13,4.5
-29.3602,-71.0244,78.31,5
-22.4303,-65.9564,255.53,4.2
-17.5662,-69.9017,164.17,4
-18.4352,-70.0348,73.43,4.1
-32.7971,-69.8145,10.21,3.8
-29.4385,-71.3879,39.14,4.2
-32.4851,-70.0266,108.97,4.3
-21.8394,-68.5133,120.27,4.5
-20.1104,-68.1921,169.65,4.2
-21.1118,-69.0072,113.83,4.1
-30.5055,-71.6897,35,4.4
-38.6348,-73.3766,26.46,4.5
-21.9964,-70.3857,31.57,4.3
-33.577,-67.6901,205.02,4.6
-20.9471,-67.8666,200.36,4
-18.1486,-66.9594,273.42,4.1
-33.6324,-68.7592,150.19,5.4
-21.4543,-68.5081,147.27,4.4
-24.0615,-67.0144,206.55,4.2
-21.1264,-68.9719,122.28,3.7
-23.081,-66.4364,214.41,4.3
-24.1439,-66.8304,184.34,4.8
-31.4583,-72.6147,10,4.5
-28.4089,-67.3936,131.39,4.5
-21.5019,-66.7215,227.3,4.3
-29.9529,-72.0789,10,4.4
-31.8863,-65.1096,10,3.4
-20.1157,-69.1301,94.72,4.1
-22.3872,-68.6099,117.81,4.3
-30.0507,-72.0911,12.04,4.4
-32.9991,-70.7541,84.37,4.1
-30.1295,-72.1342,10,4.5
-30.1153,-72.3196,10,4.8
-30.0557,-72.0819,11,6.4
-30.4442,-71.3771,47.51,5
